date,nifty_close,vix,nifty_realvol20d,fpi_net_equity_cr,usdinr,tri,engine_hedge_target,engine_stage
1996-01-01,908.01,,,,,,,
1996-01-02,900.38,,,,,,,
1996-01-03,895.96,,,,,,,
1996-01-04,889.67,,,,,,,
1996-01-05,884.73,,,,,,,
1996-01-08,869.7,,,,,,,
1996-01-09,869.12,,,,,,,
1996-01-10,863.8,,,,,,,
1996-01-11,873.27,,,,,,,
1996-01-12,875.15,,,,,,,
1996-01-15,871.32,,,,,,,
1996-01-16,868.52,,,,,,,
1996-01-17,857.11,,,,,,,
1996-01-18,848.83,,,,,,,
1996-01-19,843.99,,,,,,,
1996-01-22,844.31,,,,,,,
1996-01-23,832.9,,,,,,,
1996-01-24,818.69,,,,,,,
1996-01-25,814.92,,,,,,,
1996-01-29,830.88,,,,,,,
1996-01-30,846.57,,16.066,,,,,
1996-01-31,848.42,,16.0756,,,,,
1996-02-01,869.54,,18.7854,,,,,
1996-02-02,918.31,,27.2133,,,,,
1996-02-05,943.08,,28.4608,,,,,
1996-02-06,925.71,,28.6031,,,,,
1996-02-07,932.02,,28.5946,,,,,
1996-02-08,980.27,,32.815,,,,,
1996-02-09,1033.02,,36.6655,,,,,
1996-02-12,1018.51,,37.4811,,,,,
1996-02-13,1027.36,,37.2136,,,,,
1996-02-14,1051.99,,37.3406,,,,,
1996-02-15,1046.24,,36.8107,,,,,
1996-02-16,1023.08,,37.9664,,,,,
1996-02-19,1021.38,,37.78,,,,,
1996-02-20,1000.13,,39.2053,,,,,
1996-02-22,1024.91,,38.6884,,,,,
1996-02-23,1028.84,,37.3985,,,,,
1996-02-26,1034.73,,36.9886,,,,,
1996-02-27,1027.45,,37.4703,,,,,
1996-02-28,1027.39,,37.525,,,,,
1996-02-29,992.51,,40.6333,,,,,
1996-03-01,999.47,,40.1487,,,,,
1996-03-04,998.84,,36.0382,,,,,
1996-03-06,1002.91,,35.0536,,,,,
1996-03-07,998.45,,34.2447,,,,,
1996-03-08,988.62,,34.5609,,,,,
1996-03-11,975.26,,30.0664,,,,,
1996-03-12,976.22,,22.7754,,,,,
1996-03-13,992.14,,23.3137,,,,,
1996-03-14,991.14,,23.0165,,,,,
1996-03-15,981.87,,21.0716,,,,,
1996-03-18,962.09,,21.9064,,,,,
1996-03-19,947.09,,21.2909,,,,,
1996-03-21,965.57,,22.826,,,,,
1996-03-22,956.11,,21.9718,,,,,
1996-03-25,953.98,,19.578,,,,,
1996-03-26,957.14,,19.5527,,,,,
1996-03-27,974.17,,20.7298,,,,,
1996-03-28,997.32,,22.683,,,,,
1996-03-29,985.3,,22.9845,,,,,
1996-04-01,994.8,,19.8454,,,,,
1996-04-02,1003.28,,19.9213,,,,,
1996-04-03,1013.47,,20.2248,,,,,
1996-04-04,1010.94,,20.2153,,,,,
1996-04-08,1032.13,,21.3593,,,,,
1996-04-09,1029.07,,21.001,,,,,
1996-04-10,1029.28,,20.1961,,,,,
1996-04-11,1025.18,,20.3288,,,,,
1996-04-12,1032.19,,19.7537,,,,,
1996-04-15,1046.45,,20.1463,,,,,
1996-04-16,1058.71,,19.851,,,,,
1996-04-17,1096.28,,20.6157,,,,,
1996-04-18,1121.68,,19.6232,,,,,
1996-04-19,1131.74,,19.2022,,,,,
1996-04-22,1106.93,,21.1181,,,,,
1996-04-23,1095.82,,21.7639,,,,,
1996-04-24,1145.11,,25.3609,,,,,
1996-04-25,1120.82,,27.3074,,,,,
1996-04-26,1123.63,,26.6359,,,,,
1996-04-29,1118.37,,26.0915,,,,,
1996-04-30,1114.36,,26.2921,,,,,
1996-05-01,1137.86,,26.8296,,,,,
1996-05-02,1132.05,,27.0858,,,,,
1996-05-03,1119.48,,27.5965,,,,,
1996-05-06,1088.22,,29.3475,,,,,
1996-05-07,1093.09,,29.2774,,,,,
1996-05-08,1108.53,,29.5114,,,,,
1996-05-09,1090.53,,30.2575,,,,,
1996-05-10,1078.63,,30.6236,,,,,
1996-05-13,1088.1,,30.4256,,,,,
1996-05-14,1105.47,,30.6383,,,,,
1996-05-15,1115.97,,28.2765,,,,,
1996-05-16,1128.59,,27.3605,,,,,
1996-05-17,1115.54,,27.4743,,,,,
1996-05-20,1083.67,,28.2752,,,,,
1996-05-21,1074.86,,28.2019,,,,,
1996-05-22,1081.13,,22.8831,,,,,
1996-05-23,1076.71,,21.8203,,,,,
1996-05-24,1085.03,,22.0395,,,,,
