Date,Nifty_Close,Nifty_Open,Nifty_High,Nifty_Low,Nifty50_Futures,VIX,Gold_INR_10g,USDINR,FPI_Net_Equity_Cr,FPI_Net_Debt_Cr,FPI_Net_Total_Cr,Put_Cost_ATM_Pct,Put_Cost_95_OTM_Pct,Drawdown_Pct,Yield_3M_Open,Yield_3M_High,Yield_3M_Low,Yield_3M_Close,FPI_Is_MTD,Nifty_LogRet,Nifty_RealVol20d,Put_Cost_Source,Data_Tier,Nifty_Range_Pct,Nifty_Body_Pct,VIX_High_Flag,VIX_Spike_Flag,TRI
1996-01-01,908.01,913.11,913.11,906.15,,,,,,,,,,0.0,,,,,False,,,,Index_Only,0.7681,-0.5585,0,0,
1996-01-02,900.38,906.78,906.78,899.52,,,,,,,,,,-0.840299116,,,,,False,-0.008438,,,Index_Only,0.8071,-0.7058,0,0,
1996-01-03,895.96,901.66,904.48,895.48,,,,,,,,,,-1.327077896,,,,,False,-0.004921,,,Index_Only,1.005,-0.6322,0,0,
1996-01-04,889.67,891.37,891.37,884.1,,,,,,,,,,-2.019801544,,,,,False,-0.007045,,,Index_Only,0.8223,-0.1907,0,0,
1996-01-05,884.73,887.79,887.79,881.74,,,,,,,,,,-2.563848416,,,,,False,-0.005568,,,Index_Only,0.6861,-0.3447,0,0,
1996-01-08,869.7,883.64,883.64,868.44,,,,,,,,,,-4.21911653,,,,,False,-0.017134,,,Index_Only,1.7503,-1.5776,0,0,
1996-01-09,869.12,864.84,870.71,856.77,,,,,,,,,,-4.282992478,,,,,False,-0.000667,,,Index_Only,1.627,0.4949,0,0,
1996-01-10,863.8,863.86,869.01,863.8,,,,,,,,,,-4.868889109,,,,,False,-0.00614,,,Index_Only,0.6031,-0.0069,0,0,
1996-01-11,873.27,862.62,873.72,861.97,,,,,,,,,,-3.825949053,,,,,False,0.010904,,,Index_Only,1.3632,1.2346,0,0,
1996-01-12,875.15,875.11,877.6,872.1,,,,,,,,,,-3.618902876,,,,,False,0.002151,,,Index_Only,0.6307,0.0046,0,0,
1996-01-15,871.32,878.74,878.74,870.98,,,,,,,,,,-4.040704398,,,,,False,-0.004386,,,Index_Only,0.891,-0.8444,0,0,
1996-01-16,868.52,871.29,871.29,866.64,,,,,,,,,,-4.349071045,,,,,False,-0.003219,,,Index_Only,0.5366,-0.3179,0,0,
1996-01-17,857.11,866.0,866.0,857.11,,,,,,,,,,-5.605665136,,,,,False,-0.013224,,,Index_Only,1.0372,-1.0266,0,0,
1996-01-18,848.83,853.28,853.28,841.79,,,,,,,,,,-6.517549366,,,,,False,-0.009707,,,Index_Only,1.3649,-0.5215,0,0,
1996-01-19,843.99,846.66,847.17,840.18,,,,,,,,,,-7.050583143,,,,,False,-0.005718,,,Index_Only,0.832,-0.3154,0,0,
1996-01-22,844.31,844.83,847.12,844.04,,,,,,,,,,-7.015341241,,,,,False,0.000379,,,Index_Only,0.3649,-0.0616,0,0,
1996-01-23,832.9,846.05,846.05,830.83,,,,,,,,,,-8.271935331,,,,,False,-0.013606,,,Index_Only,1.8319,-1.5543,0,0,
1996-01-24,818.69,831.17,831.17,816.0,,,,,,,,,,-9.836896069,,,,,False,-0.017208,,,Index_Only,1.8591,-1.5015,0,0,
1996-01-25,814.92,819.56,819.56,814.34,,,,,,,,,,-10.25208973,,,,,False,-0.004616,,,Index_Only,0.641,-0.5662,0,0,
1996-01-29,830.88,813.12,832.23,813.12,,,,,,,,,,-8.494399841,,,,,False,0.019395,,,Index_Only,2.3502,2.1842,0,0,
1996-01-30,846.57,836.14,848.13,836.14,,,,,,,,1.5974,0.5,-6.766445303,,,,,False,0.018708,16.066,Estimated_RealVol_BS,Index_Only,1.434,1.2474,0,0,
1996-01-31,848.42,843.19,852.75,843.19,,,,,,,,1.5985,0.5,-6.562703054,,,,,False,0.002183,16.0756,Estimated_RealVol_BS,Index_Only,1.1338,0.6203,0,0,
1996-02-01,869.54,848.28,869.54,848.28,,,,,,,,1.906,0.5,-4.236737481,,,,,False,0.024589,18.7854,Estimated_RealVol_BS,Index_Only,2.5062,2.5062,0,0,
1996-02-02,918.31,878.5,919.82,878.5,,,,,,,,2.8643,1.0459,0.0,,,,,False,0.054571,27.2133,Estimated_RealVol_BS,Index_Only,4.7035,4.5316,0,0,
1996-02-05,943.08,933.14,949.16,927.65,,,,,,,,3.0062,1.1541,0.0,,,,,False,0.026616,28.4608,Estimated_RealVol_BS,Index_Only,2.3188,1.0652,0,0,
1996-02-06,925.71,943.75,947.89,919.99,,,,,,,,3.0224,1.1666,-1.841837384,,,,,False,-0.01859,28.6031,Estimated_RealVol_BS,Index_Only,3.0326,-1.9115,0,0,
1996-02-07,932.02,918.97,932.02,913.22,,,,,,,,3.0214,1.1658,-1.172753107,,,,,False,0.006793,28.5946,Estimated_RealVol_BS,Index_Only,2.0586,1.4201,0,0,
1996-02-08,980.27,936.72,983.25,936.72,,,,,,,,3.5017,1.5478,0.0,,,,,False,0.050474,32.815,Estimated_RealVol_BS,Index_Only,4.9673,4.6492,0,0,
1996-02-09,1033.02,1001.85,1033.02,980.27,,,,,,,,3.9399,1.9124,0.0,,,,,False,0.052414,36.6655,Estimated_RealVol_BS,Index_Only,5.3812,3.1112,0,0,
1996-02-12,1018.51,1032.47,1045.81,1018.51,,,,,,,,4.0328,1.9911,-1.404619465,,,,,False,-0.014146,37.4811,Estimated_RealVol_BS,Index_Only,2.6804,-1.3521,0,0,
